"Conf"	"EndTime"	"StartTime"	"Source"	"Destination"	"Location"	"ThroughTime"
c	5.188e-03	5.042e-03	26.00	7.00	7.00	0.0001652410
c	5.597e-03	5.451e-03	26.00	7.00	7.00	0.0001279366
c	6.687e-03	6.541e-03	26.00	7.00	7.00	0.0001287606
c	8.458e-03	8.313e-03	26.00	7.00	7.00	0.0001407762
c	8.595e-03	8.449e-03	26.00	7.00	7.00	0.0001369518
c	8.867e-03	8.722e-03	26.00	7.00	7.00	0.0001735540
c	0.01	0.01	26.00	7.00	7.00	0.0001376249
c	0.01	0.01	26.00	7.00	7.00	0.0001584552
c	0.01	0.01	26.00	7.00	7.00	0.0001512292
c	0.01	0.01	26.00	7.00	7.00	0.0001618076
c	0.01	0.01	26.00	7.00	7.00	0.0001220057
c	0.01	0.01	26.00	7.00	7.00	0.0001494558
c	0.02	0.02	26.00	7.00	7.00	0.0001093197
c	0.02	0.02	26.00	7.00	7.00	0.0001833593
c	0.02	0.02	26.00	7.00	7.00	0.0001461512
c	0.02	0.02	26.00	7.00	7.00	0.0001610112
c	0.02	0.02	26.00	7.00	7.00	0.0001534722
c	0.02	0.02	26.00	7.00	7.00	0.0001561711
c	0.02	0.02	26.00	7.00	7.00	0.0001462778 
c	0.02	0.02	26.00	7.00	7.00	0.0001483000
p	5.724e-03	5.869e-03	26	7	7	0.0001033198 
p	5.587e-03	5.945e-03	26	7	7	0.0003626862 
p	6.814e-03	6.959e-03	26	7	7	0.0001323321 
p	7.086e-03	7.232e-03	26	7	7	0.0001666596 
p	7.495e-03	7.852e-03	26	7	7	0.0003442940
p	8.176e-03	8.322e-03	26	7	7	0.0001595984
p	8.722e-03	8.867e-03	26	7	7	0.0001609476
p	0.01	0.01	26	7	7	0.0003534330
p	0.01	0.01	26	7	7	0.0003762586
p	0.01	0.01	26	7	7	0.0001663734
p	0.01	0.01	26	7	7	0.0001299303
p	0.01	0.01	26	7	7	0.0003944377
p	0.01	0.01	26	7	7	0.0001818358
p	0.01	0.01	26	7	7	0.0003630746
p	0.01	0.01	26	7	7	0.0003453091
p	0.01	0.01	26	7	7	0.0001659701 
p	0.01	0.02	26	7	7	0.0001488715
p	0.02	0.02	26	7	7	0.0001267419
p	0.02	0.02	26	7	7	0.0003574635
p	0.02	0.02	26	7	7	0.0003671781
