"EndTime"	"StartTime"	"Source"	"Destination"	"Location"	"ThroughTime"
5.188e-03	0.005049292	26.00	7.00	7.00	1.46e-04
5.591e-03	0.005175825	26.00	13.00	13.00	4.12999999999999e-04
5.46e-03	0.005301228	26.00	5.00	5.00	1.44999999999999e-04
5.597e-03	0.005437615	26.00	7.00	7.00	1.46e-04
5.733e-03	0.005549236	26.00	4.00	4.00	1.46e-04
5.869e-03	0.005722780	26.00	6.00	6.00	1.45e-04
6.006e-03	0.005853442	26.00	5.00	5.00	1.46e-04
6.409e-03	0.006008526	26.00	18.00	18.00	4.13e-04
6.545e-03	0.006108340	26.00	9.00	9.00	4.12999999999999e-04
6.414e-03	0.006255718	26.00	5.00	5.00	1.45e-04
6.551e-03	0.006436177	26.00	5.00	5.00	1.46e-04
6.687e-03	0.006542409	26.00	7.00	7.00	1.46e-04
6.823e-03	0.006681239	26.00	1.00	1.00	1.46e-04
6.959e-03	0.006828856	26.00	4.00	4.00	1.45e-04
7.363e-03	0.006961677	26.00	13.00	13.00	4.13e-04
7.366e-03	0.007084763	26.00	14.00	14.00	2.8e-04
7.635e-03	0.007232427	26.00	8.00	8.00	4.12e-04
7.505e-03	0.007374320	26.00	6.00	6.00	1.46e-04
7.908e-03	0.007535963	26.00	13.00	13.00	4.13e-04
8.044e-03	0.007638174	26.00	9.00	9.00	4.13000000000001e-04
7.913e-03	0.007775387	26.00	4.00	4.00	1.45e-04
8.317e-03	0.007877855	26.00	13.00	13.00	4.13e-04
8.186e-03	0.008043234	26.00	4.00	4.00	1.46e-04
8.322e-03	0.008166325	26.00	6.00	6.00	1.46e-04
8.458e-03	0.008328562	26.00	7.00	7.00	1.45000000000001e-04
8.595e-03	0.008428752	26.00	7.00	7.00	1.46e-04
8.731e-03	0.008599573	26.00	5.00	5.00	1.45999999999999e-04
8.867e-03	0.008729301	26.00	7.00	7.00	1.44999999999999e-04
9.004e-03	0.008847609	26.00	4.00	4.00	1.46e-04
9.407e-03	0.008972309	26.00	13.00	13.00	4.13e-04
9.276e-03	0.009127169	26.00	5.00	5.00	1.46e-04
9.679e-03	0.009264864	26.00	10.00	10.00	4.12000000000001e-04
9.685e-03	0.009420258	26.00	4.00	4.00	1.45999999999999e-04
9.816e-03	0.009535972	26.00	13.00	13.00	4.13e-04
0.01	0.009671120	26.00	13.00	13.00	4.13e-04
9.957e-03	0.009852506	26.00	1.00	1.00	1.45000000000001e-04
0.01	0.009959644	26.00	18.00	18.00	4.13e-04
0.01	0.010102018	26.00	7.00	7.00	1.45000000000001e-04
