make	Model	HeadIC	Chestdecel	LLeg	RLeg	D/P	Protection	Doors	Year	Wt	Size
Acura	Integra	599	35	791	262	Driver	manualbelts	2	87	2350	lt
Acura	LegendLS	435	50	926	708	Driver	dairbag	4	88	3280	med
Audi	80	600	49	168	1871	Driver	manualbelts	4	89	2790	comp
Audi	100	185	35	998	894	Driver	dairbag	4	89	3100	med
Buick	Century	815	47	1340	315	Driver	passivebelts	4	91	2992	comp
Buick	Elect.ParkAve	1467	54	712	1366	Driver	manualbelts	4	88	3360	med
Buick	Regal	880	50	996	642	Driver	passivebelts	2	88	3210	med
Chevrolet	Beretta	343	37	659	523	Driver	dairbag	2	91	2671	comp
Chevrolet	BerettaGT	864	50	1692	1052	Driver	passivebelts	2	88	2890	comp
Chevrolet	Camaro	733	39	736	353	Driver	manualbelts	2	87	3070	med
Chevrolet	Camaro	585	39	717	150	Driver	dairbag	2	91	3191	med
Chevrolet	Caprice	1328	64	406	493	Driver	manualbelts	4	89	3693	hev
Chevrolet	Caprice	533	54	1529	613	Driver	dairbag	4	91	3990	hev
Chevrolet	Cavalier	770	49	775	531	Driver	passivebelts	4	90	2540	comp
Chevrolet	Corsica	772	44	1293	737	Driver	manualbelts	4	88	2750	comp
Chevrolet	Corsica	493	41	1171	550	Driver	dairbag	4	91	2830	comp
Chevrolet	S-10Blazer4X4	1026	71	2626	593	Driver	manualbelts	4	91	3820	mpv
Chrysler	FifthAve	786	43	1132	667	Driver	dairbag	4	89	3820	hev
Chrysler	LeBaron	791	62	1008	1776	Driver	passivebelts	2	87	2870	comp
Chrysler	NewYorker	1362	55	730	1102	Driver	manualbelts	4	88	3190	med
Daihatsu	Charade	768	43	574	598	Driver	manualbelts	2	88	1820	mini
Dodge	colt	1354	53	844	461	Driver	manualbelts	4	88	2348	lt
Dodge	Daytona	399	39	729	908	Driver	dairbag	2	89	2790	comp
Dodge	Shadow	1488	49	1003	529	Driver	manualbelts	2	87	2550	comp
Dodge	Shadow	503	42	1234	647	Driver	dairbag	4	91	2730	comp
Dodge	Spirit	1421	47	672	772	Driver	manualbelts	4	89	2840	comp
Eagle	Medallion	745	41	1721	1574	Driver	Motorizedbelts	4	89	2740	comp
